Gender,Residence,Study_Level,Faculty,Grad_School,Visiting_Faculty_GradSchool,Affiliation_Program,Freq_Taxi,Freq_Ring,Freq_Walking,Freq_Hitchhiking,Freq_PersonalVehicle,Weekday_Ring_Frequency,Weekday_Ring_TimeSlots,Weekday_Schedule_Satisfaction,Weekend_Ring_Frequency,Weekend_Ring_TimeSlots,Weekend_Schedule_Satisfaction,Route_Used_Most,Ring_Purposes,Ring_Reasons,Problem_LateBus,Problem_TooCrowded,Problem_LongWait,Problem_NotMyRoute,Problem_RouteConfusing,Problem_HoursMismatch,Problem_NotClean,Problem_DriverBehavior,Understanding_Routes,Avg_Wait_Time,UseMore_IfFrequent,App_Helping_Ring,MostValuable_Improvement,Overall_Satisfaction,Open_Comments,Department
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Never,Rarely,Always,Rarely,Never,1–2 times a week,Morning (08:00–11:00),Neutral,Rarely (once or twice a month),Late (19:00–23:00),Very dissatisfied,"Brown (A1 - A1), Red (East - A2), Purple (A1 - A1)","To get to East dormitory, To get to A2 Entrance",Most convenient,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Rarely,4.0,5–10 minutes,Yes,5.0,More frequent buses,3.0,,Mathematics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Rarely,Rarely,Never,Sometimes,Never,Once a day,Morning (08:00–11:00),Unsatisfied,Nadiren (ayda 1–2 kez),Late hours (19:00–23:00),Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","Going to East Dorms, Reaching my department","Most convenient transportation method, Free, Better for the environment, I don't have a personal vehicle",Often,Always,Always,Never,Rarely,Sometimes,Often,Never,3.0,11–15 minutes,Yes,1.0,More frequent buses,3.0,,Political Science and Public Administration
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Rarely,Always,Rarely,Never,Never,More than once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Unsatisfied,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Very Unsatisfied,"Yellow (A2 - East), Red (East - A2), Navy (East - East)","Going to West Dorms, Reaching my department, Going to cafeteria","Free, I don't have a personal vehicle",Often,Often,Often,Often,Never,Often,Always,Sometimes,3.0,5–10 minutes,Yes,2.0,More frequent buses,2.0,,Mathematics and Science Education
Female,Off-campus (within walking distance),Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Never,Often,Always,Always,Sometimes,Haftada 3–4 kez,"Morning (08:00–11:00), Noon (11:00–15:00)",Unsatisfied,Never use it,,,"Red (East - A2), Purple (A1 - A1)",Reaching my department,"Most convenient transportation method, Free, I don't have a personal vehicle",Always,Sometimes,Often,Often,Never,Often,Never,Rarely,3.0,5–10 minutes,Yes,,Better real-time tracking,3.0,,International Relations
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Often,Often,Sometimes,Never,Once a day,Late hours (19:00–23:00),Satisfied,Nadiren (ayda 1–2 kez),Late hours (19:00–23:00),Neutral,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","Going to East Dorms, Going to Gate A1, Going to library",Most convenient transportation method,Sometimes,Often,Often,Rarely,Often,Often,Never,Never,3.0,11–15 minutes,Yes,4.0,Daha uzun hizmet saatleri,3.0,,Statistics
Male,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Never,Always,Often,Often,Never,Haftada 3–4 kez,"Morning (08:00–11:00), Afternoon (15:00–19:00)",Neutral,Nadiren (ayda 1–2 kez),Noon (11:00–15:00),Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East)","Reaching my department, Going to Gate A1, Going to cafeteria","Most convenient transportation method, Free, Fastest transportation method",Rarely,Often,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,4.0,5–10 minutes,Yes,2.0,More frequent buses,4.0,,Statistics
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Sometimes,Often,Sometimes,Often,Never,Haftada 3–4 kez,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,Often (every weekend),"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Satisfied,"Yellow (A2 - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to library","Most convenient transportation method, Free, Fastest transportation method, I don't have a personal vehicle",,Sometimes,Always,Often,Rarely,Rarely,Rarely,Never,4.0,20 dakikadan fazla,Yes,1.0,Better route coverage,3.0,,Sosyoloji
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Often,Always,Never,Never,Once a day,Morning (08:00–11:00),Satisfied,Sometimes (a few times a month),Noon (11:00–15:00),Unsatisfied,Red (East - A2),"Reaching my department, Going to Gate A1, Going to Gate A2","Most convenient transportation method, Free, Better for the environment, I don't have a personal vehicle",Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,3.0,5–10 minutes,Yes,4.0,More frequent buses,4.0,Doğu yurtlarda kalan bir AEE öğrencisiyim. Doğu yurtlardan batı yurtlara gündüz giden bir ring güzel olurdu. YP'den yürümemiz gerekiyor,Aerospace Engineering
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Sometimes,Often,Sometimes,Rarely,Never,Haftada 3–4 kez,Late hours (19:00–23:00),Satisfied,Sometimes (a few times a month),"Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Yellow (A2 - East), Red (East - A2), Navy (East - East)","Going to West Dorms, Going to East Dorms, Going to Gate A1, Going to Gate A2",Free,Rarely,Always,Sometimes,Rarely,Never,Sometimes,Rarely,Never,3.0,11–15 minutes,Yes,2.0,Daha uzun hizmet saatleri,4.0,,Statistics
Female,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Never,Often,Never,Often,Rarely,Once a day,"Morning (08:00–11:00), Noon (11:00–15:00)",Satisfied,Sometimes (a few times a month),Noon (11:00–15:00),Unsatisfied,"Brown (A1 - A1), Purple (A1 - A1)","Reaching my department, Going to Gate A1","Most convenient transportation method, Free, I don't have a personal vehicle",Rarely,Always,Sometimes,Never,Never,Rarely,Never,Sometimes,4.0,5–10 minutes,No,4.0,Daha uzun hizmet saatleri,3.0,,Statistics
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Often,Often,Rarely,Often,Haftada 1–2 kez,Morning (08:00–11:00),Satisfied,Nadiren (ayda 1–2 kez),Noon (11:00–15:00),Unsatisfied,"Yellow (A2 - East), Red (East - A2)","Going to East Dorms, Reaching my department, Going to Gate A1, Going to library","Most convenient transportation method, Fastest transportation method",Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,2.0,5–10 minutes,Yes,4.0,More frequent buses,3.0,,Statistics
Female,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Always,Always,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Satisfied,Nadiren (ayda 1–2 kez),,Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","Going to Gate A1, Going to Gate A2, Going to sports/recreation facilities","Free, I don't have a personal vehicle",Rarely,Often,Often,Often,Never,Often,Rarely,Never,4.0,11–15 minutes,Yes,5.0,Better route coverage,3.0,,Food Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Never,Always,Sometimes,Often,Never,More than once a day,"Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,Often (every weekend),"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Going to East Dorms, Reaching my department, Going to Gate A1, Going to Gate A2, Going to library, Going to cafeteria","Most convenient transportation method, Free, I don't have a personal vehicle",Often,Often,Always,Always,Rarely,Often,Rarely,Never,4.0,20 dakikadan fazla,Yes,1.0,Better route coverage,1.0,seferlerij artirilmasi ve gece bati yurtlarina giderken bindigimiz ringlerim bolumleri dolasmamasi,Mathematics and Science Education
Female,Off-campus (within walking distance),Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Rarely,Often,Often,Rarely,Sometimes,Haftada 3–4 kez,Morning (08:00–11:00),Unsatisfied,Sometimes (a few times a month),Late hours (19:00–23:00),Very Unsatisfied,Yellow (A2 - East),"Reaching my department, Going to Gate A2","Most convenient transportation method, Free, Fastest transportation method, Better for the environment, Hard to find parking",Often,Sometimes,Always,Never,Never,Always,Never,Never,1.0,11–15 minutes,Yes,2.0,More frequent buses,3.0,,International Relations
Male,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Rarely,Often,Often,Sometimes,Never,Haftada 3–4 kez,Morning (08:00–11:00),Unsatisfied,Never use it,,Neutral,"Brown (A1 - A1), Red (East - A2), Purple (A1 - A1)","Reaching my department, Going to Gate A1, Going to Gate A2, Going to cafeteria, Going to sports/recreation facilities","Free, Fastest transportation method, I don't have a personal vehicle",Sometimes,Often,Always,Often,Sometimes,Rarely,Rarely,Rarely,3.0,11–15 minutes,Yes,2.0,Better real-time tracking,3.0,,International Relations
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Often,Often,Never,Never,Once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Satisfied,Often (every weekend),Late hours (19:00–23:00),Neutral,Brown (A1 - A1),"Going to East Dorms, Reaching my department, Going to Gate A1","Free, Fastest transportation method, Better for the environment, I don't have a personal vehicle",Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,3.0,5–10 minutes,Yes,3.0,Daha uzun hizmet saatleri,4.0,,Industrial Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Sometimes,Often,Never,Never,Haftada 3–4 kez,"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Neutral,Sometimes (a few times a month),"Noon (11:00–15:00), Afternoon (15:00–19:00)",Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1","Free, Fastest transportation method, I don't have a personal vehicle",Rarely,Often,Rarely,Often,Rarely,Rarely,Sometimes,Never,4.0,11–15 minutes,Yes,4.0,Better route coverage,3.0,Kapılardan Batı yurtlarına gün içerisinde her zaman gelecek bir güzergah düzenlemesi yapılabilir ,Molecular Biology and Genetics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Often,Often,Rarely,Never,Haftada 1–2 kez,Late hours (19:00–23:00),Highly Satisfied,Often (every weekend),Late hours (19:00–23:00),Unsatisfied,"Brown (A1 - A1), Navy (East - East), Purple (A1 - A1)","Going to East Dorms, Going to Gate A1, Going to Gate A2",I don't have a personal vehicle,Never,Often,Sometimes,Rarely,Never,Sometimes,Never,Never,5.0,5 dakikadan az,Not sure,2.0,Daha uzun hizmet saatleri,4.0,"Hafta sonları geceye birkaç ring daha eklenmeli, çünkü hafta sonları kampüs dışında olduğumuz zaman daha geç ringlere ihtiyacımız olabiliyor. Metro seferleri bitiminde son ring programlansa çok iyi olur. Bunların dışında güzergâh ve program geçen seneye göre kesinlikle daha iyi. Hafta içi gündüz ringlerini kendim kullanmıyorum ama kullanan arkadaşlarım çok memnun. Araç konforu ya da şoför davranışı ile ilgili sorun yaşamadım, yaşayan da duymadım. Dediğim gibi tek feedbackim son metro seferine uygun son ring seferi koyulması.",Computer Engineering
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Sometimes,Sometimes,Rarely,Never,Haftada 3–4 kez,"Noon (11:00–15:00), Late hours (19:00–23:00)",Neutral,Often (every weekend),Late hours (19:00–23:00),Neutral,"Brown (A1 - A1), Yellow (A2 - East)","Reaching my department, Going to Gate A1","Most convenient transportation method, I don't have a personal vehicle",,Often,Often,Often,Sometimes,Often,Rarely,Never,4.0,11–15 minutes,Yes,2.0,Better real-time tracking,3.0,,Civil Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Rarely,Always,Often,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00)",Unsatisfied,Often (every weekend),"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,"Turquoise (West - A2), Orange (West - A2), Yellow (A2 - East)","Going to West Dorms, Going to East Dorms, Reaching my department, Going to Gate A1, Going to Gate A2, Going to library, Going to cafeteria, Going to sports/recreation facilities","Better for the environment, I don't have a personal vehicle",Sometimes,Always,Often,Often,Rarely,Sometimes,Often,Sometimes,3.0,5–10 minutes,Yes,4.0,Better route coverage,3.0,,Foreign Languages Education
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Often,Always,Rarely,Never,More than once a day,"Morning (08:00–11:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Neutral,Sometimes (a few times a month),"Morning (08:00–11:00), Late (19:00–23:00)",Neutral,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2), Purple (A1 - A1)","To get to East dormitory, To get to A1 Entrance, To get to A2 Entrance","Most convenient, It's free, No private car",Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Never,3.0,5–10 minutes,Yes,4.0,Better real-time tracking,4.0,,Aerospace Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Rarely,Often,Sometimes,Sometimes,Never,More than once a day,"Noon (11:00–15:00), Late hours (19:00–23:00)",Satisfied,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Neutral,"Turquoise (West - A2), Orange (West - A2), Yellow (A2 - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1, Going to Gate A2, Going to library, Going to cafeteria","Most convenient transportation method, Free, I don't have a personal vehicle",Sometimes,Often,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,4.0,5–10 minutes,Yes,5.0,More frequent buses,4.0,"Turkuaz ring sayısı artırılmalı. Eğitim fakültesine ya da Yabancı Diller'e giderken her seferinde hazırlıktan yürümek zorunda kalıyoruz, özellikle ders saatleriyle uymadığı zamanlarda. Yağmurlu günlerde özellikle sorun oluyor. Turkuaz ring sadece sabah 8.15 ve 8.25'te. Diğer saatlerde de koyulursa gerçekten işe yarardı. Onun dışında öğlenleri belli saatlerde batı yurtlarında ring yoğunluğu çok fazla oluyor. Bunun en önemli sebebi yabancı dillerde dersten çıkan öğrencilerin ringi doldurması ve batıya ringin çoktan dolu bir şekilde gelmesi. Bu yüzden yoğun saatlere tek bir fazladan araç bile eklense yeterli olurdu. Teşekkürler.",Foreign Languages Education
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Sometimes,Always,Rarely,Rarely,Never,More than once a day,"Noon (11:00–15:00), Afternoon (15:00–19:00)",Satisfied,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Neutral,"Yellow (A2 - East), Navy (East - East)","Going to West Dorms, Reaching my department, Going to Gate A2, Going to cafeteria","Most convenient transportation method, Free, I don't have a personal vehicle",Rarely,Always,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,4.0,11–15 minutes,Yes,5.0,More frequent buses,2.0,,Political Science and Public Administration
Male,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Always,Often,Never,Very rarely,"Morning (08:00–11:00), Late hours (19:00–23:00)",Very Unsatisfied,Sometimes (a few times a month),Late hours (19:00–23:00),Unsatisfied,"Yellow (A2 - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1, Going to library, Going to cafeteria","Fastest transportation method, I don't have a personal vehicle",Sometimes,Always,Often,Rarely,Never,Rarely,Rarely,Rarely,3.0,11–15 minutes,Yes,3.0,More frequent buses,2.0,,Computer Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Often,Sometimes,Rarely,Once a day,Afternoon (15:00–19:00),Very Unsatisfied,Often (every weekend),"Morning (08:00–11:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,"Yellow (A2 - East), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Going to library, Going to cafeteria","Most convenient transportation method, Free, Fastest transportation method, Better for the environment, I don't have a personal vehicle",Often,Often,Often,Sometimes,Never,Often,Sometimes,Never,3.0,5–10 minutes,Yes,3.0,More frequent buses,2.0,Özellikle hafta sonu akşam kütüphaneden dönmek çok zor oluyor. ,Metallurgical and Materials Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Never,Often,Always,Rarely,Never,Once a day,Morning (08:00–11:00),Neutral,Nadiren (ayda 1–2 kez),"Morning (08:00–11:00), Noon (11:00–15:00)",Neutral,"Yellow (A2 - East), Purple (A1 - A1)","Reaching my department, Going to cafeteria",Free,Never,Always,Sometimes,Rarely,Never,Never,Never,Never,4.0,5–10 minutes,Yes,5.0,More frequent buses,3.0,,Foreign Languages Education
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Sometimes,Often,Often,Never,Never,Haftada 1–2 kez,"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,Sometimes (a few times a month),"Noon (11:00–15:00), Late hours (19:00–23:00)",Very Unsatisfied,"Brown (A1 - A1), Purple (A1 - A1)","Going to East Dorms, Going to Gate A1, Going to sports/recreation facilities","Free, I don't have a personal vehicle",Never,Rarely,Always,Sometimes,Never,Never,Never,Never,3.0,20 dakikadan fazla,Yes,3.0,Daha uzun hizmet saatleri,2.0,Buses should be more frequent,Mechanical Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Always,Often,Often,Never,More than once a day,"Morning (08:00–11:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,Often (every weekend),"Morning (08:00–11:00), Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Orange (West - A2), Yellow (A2 - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1, Going to Gate A2","Free, I don't have a personal vehicle",Rarely,Always,Always,Always,Rarely,Always,Rarely,Never,4.0,16–20 minutes,Yes,4.0,Better route coverage,3.0,,Psikoloji
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Often,Always,Rarely,Never,3–4 times a week,"Evening (15:00-19:00), Late evening (19:00-23:00)",Neutral,Often (every weekend),"Evening (15:00–19:00), Late (19:00–23:00)",Satisfied,"Brown (A1 - A1), Navy Blue (East - East), Purple (A1 - A1)","To get to East dormitory, To get to A1 Entrance, To get to sports/recreation facilities","It's free, No private car",Sometimes,Often,Often,Rarely,Rarely,Never,Rarely,Rarely,2.0,11–15 minutes,Not sure,4.0,More frequent buses,4.0,,Mathematics
